,,Room Temp [C],Slope [K/mm],Uncertainity of slope,k_foam [W/m*K] [Conductivity],T_145 [C],Delta T_int [K],R_int [K/W] [Resistance],T_HS [C],Delta T_HS [K],T_HS_CORR,Tlinfit16,Tlinfit16 - T_HS_corr,comments,,,,
,s10_A,25,-0.325,0.009,30.71,34.41,1.54,1.54,25.42,4.27,25.61,29.685,4.08,has thermal paste all around diviot,,,,
,s10_B,25,-0.321,0.009,30.75,34.44,1.51,1.53,25.51,4.25,25.70,29.764,4.06,has thermal paste all around diviot,,,,
,s10_C,25,-0.321,0.01,30.81,34.52,1.51,1.53,25.58,4.26,25.77,29.846,4.07,has thermal paste all around diviot,,,,
,s11_A,25,-0.294,0.004,31.90,33.46,1.29,1.37,25.25,3.94,25.44,29.184,3.75,thermal paste only around side nearest to heater,,,,
,s11_B,25,-0.294,0.004,31.94,33.58,1.28,1.37,25.38,3.92,25.57,29.299,3.73,thermal paste only around side nearest to heater,,,,
,s11_C,25,-0.313,0.005,32.08,34.19,1.37,1.37,25.46,4.18,25.65,29.637,3.99,thermal paste only around side nearest to heater,,,,
,s12_A,25,-0.303,0.021,32.11,33.63,1.38,1.42,25.18,4.05,25.37,29.223,3.86,has thermal paste all around diviot,,,,
,s12_B,24,-0.299,0.021,32.07,33.29,1.36,1.41,24.93,4.00,25.12,28.936,3.81,has thermal paste all around diviot,,,,
,s12_C,24,-0.3,0.021,32.13,33.30,1.36,1.41,24.90,4.04,25.09,28.937,3.85,has thermal paste all around diviot,,,,
,s13_A,23,-0.148,0.005,59.39,27.76,0.34,0.38,23.20,2.41,23.39,25.604,2.22,low T at heater,has thermal paste all around diviot,,,
,s13_B,23,-0.152,0.005,58.62,28.11,0.34,0.38,23.43,2.47,23.62,25.902,2.28,low T at heater,has thermal paste all around diviot,,,
,s13_C,23,-0.149,0.006,58.72,28.44,0.33,0.38,23.85,2.42,24.04,26.271,2.23,low T at heater,has thermal paste all around diviot,,,
,s14_A,23,-0.255,0.007,35.02,30.11,1.42,1.59,22.34,4.06,22.53,26.402,3.87,has thermal paste all around diviot,,,,
,s14_B,23,-0.259,0.007,35.06,30.55,1.44,1.58,22.65,4.13,22.84,26.779,3.94,has thermal paste all around diviot,,,,
,s14_C,23,-0.258,0.007,35.43,30.85,1.44,1.57,22.95,4.15,23.14,27.095,3.96,has thermal paste all around diviot,,,,
,s15_A,23,-0.287,0.007,31.95,30.82,1.28,1.39,22.87,3.77,23.06,26.639,3.579,has thermal paste all around diviot,,,,
,s15_B,23,-0.275,0.007,32.51,30.74,1.23,1.37,23.12,3.62,23.31,26.74,3.43,has thermal paste all around diviot,,,,
,s15_C,23,-0.285,0.008,32.42,31.27,1.272,1.38,23.37,3.76,23.56,27.125,3.565,has thermal paste all around diviot,,,,
,s16_A,23,-0.28,0.008,35.68,32.82,0.813,0.81,24.25,4.50,24.44,28.744,4.31,has thermal paste all around diviot,,crazy T graphs,,
,s16_B,23,-0.28,0.008,35.89,33.01,0.824,0.82,24.45,4.48,24.64,28.931,4.29,has thermal paste all around diviot,,crazy T graphs,,
,s16_C,23,-0.281,0.008,34.52,33.06,0.86,0.89,24.58,4.40,24.77,28.975,4.21,has thermal paste all around diviot,,crazy T graphs,,
,s17_A,23,-0.321,0.007,32.62,31.98,1.26,1.20,22.68,4.64,22.87,27.314,4.45,has thermal paste all around diviot,,,,
